file,status,applied,had_frontmatter,changes,error
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\02_governance\nzinga_diplomacy_ai_ethics.md,changed,no,yes,fixed path -> africana_studies/02_governance/nzinga_diplomacy_ai_ethics.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\02_governance\reconstruction_constitutional_order.md,changed,no,yes,renamed grok_ctx_reflection -> ctx_grok_reflection; fixed path -> africana_studies/02_governance/reconstruction_constitutional_order.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\03_resistance_traditions\underground_railroad.md,changed,no,yes,,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\03_ways_of_knowing\john_s_wright_intellectual_life.md,changed,no,yes,fixed path -> africana_studies/03_ways_of_knowing/john_s_wright_intellectual_life.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\03_ways_of_knowing\racial_adjudication.md,changed,no,yes,renamed grok_ctx_reflection -> ctx_grok_reflection,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\03_ways_of_knowing\the_telescope_as_epistemic_infrastructure.md,changed,no,yes,fixed path -> africana_studies/03_ways_of_knowing/the_telescope_as_epistemic_infrastructure.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\03_ways_of_knowing\wright_intellectual_life.md,changed,no,yes,fixed path -> africana_studies/03_ways_of_knowing/wright_intellectual_life.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\03_ways_of_knowing\wright_intellectual_life_memory_palace.md,changed,no,yes,,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\04_science_and_technology\algorithmic_colonialism.md,changed,no,yes,renamed grok_ctx_reflection -> ctx_grok_reflection; fixed path -> africana_studies/04_science_and_technology/algorithmic_colonialism.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\04_science_and_technology\biomedical_extractivism.md,changed,no,yes,renamed grok_ctx_reflection -> ctx_grok_reflection,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\04_science_and_technology\black_technology_innovators.md,changed,no,no,fixed path -> africana_studies/04_science_and_technology/black_technology_innovators.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\04_science_and_technology\lewis_howard_latimer.md,changed,no,yes,renamed grok_ctx_reflection -> ctx_grok_reflection; fixed path -> africana_studies/04_science_and_technology/lewis_howard_latimer.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\05_cultural_meaning_making\black_aesthetic_architecture.md,changed,no,yes,renamed grok_ctx_reflection -> ctx_grok_reflection; fixed path -> africana_studies/05_cultural_meaning_making/black_aesthetic_architecture.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\05_cultural_meaning_making\black_music_cultural_resistance.md,changed,no,yes,fixed path -> africana_studies/05_cultural_meaning_making/black_music_cultural_resistance.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\05_cultural_meaning_making\harlem_renaissance_black_arts.md,changed,no,yes,fixed path -> africana_studies/05_cultural_meaning_making/harlem_renaissance_black_arts.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\05_cultural_meaning_making\sarah_lewis_douglass_visuality_and_racial_adjudication.md,changed,no,yes,,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\06_movement_and_memory\diaspora_memory_architecture.md,changed,no,no,fixed path -> africana_studies/06_movement_and_memory/diaspora_memory_architecture.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\06_movement_and_memory\gibbs_green_tragedy_counter_memory.md,changed,no,yes,renamed grok_ctx_reflection -> ctx_grok_reflection,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\06_movement_and_memory\green_book_mobility_infrastructure.md,changed,no,yes,fixed path -> africana_studies/06_movement_and_memory/green_book_mobility_infrastructure.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\07_conceptual_structures\douglass_operating_system.md,changed,no,yes,,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\07_figures_index\george_washington_williams.md,changed,no,yes,fixed path -> africana_studies/07_figures_index/george_washington_williams.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\07_figures_index\gwendolyn_brooks.md,changed,no,yes,fixed path -> africana_studies/07_figures_index/gwendolyn_brooks.md; converted adinkra to list,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\07_figures_index\madam_cj_walker.md,changed,no,yes,fixed path -> africana_studies/07_figures_index/madam_cj_walker.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\08_periods_places_index\haitian_revolution_africana_lens.md,changed,no,yes,fixed path -> africana_studies/08_periods_places_index/haitian_revolution_africana_lens.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\08_periods_places_index\harlem_renaissance.md,changed,no,yes,fixed path -> africana_studies/08_periods_places_index/harlem_renaissance.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\09_reading_notes\carrscrolls\carrscroll_100.md,changed,no,yes,fixed path -> africana_studies/09_reading_notes/carrscrolls/carrscroll_100.md; converted adinkra to list,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\09_reading_notes\carrscrolls\carrscroll_299.md,changed,no,no,fixed path -> africana_studies/09_reading_notes/carrscrolls/carrscroll_299.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\09_reading_notes\carrscrolls\carrscroll_302.md,changed,no,yes,fixed path -> africana_studies/09_reading_notes/carrscrolls/carrscroll_302.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\09_reading_notes\carrscrolls\carrscroll_309.md,changed,no,yes,renamed grok_ctx_reflection -> ctx_grok_reflection; fixed path -> africana_studies/09_reading_notes/carrscrolls/carrscroll_309.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\09_reading_notes\carrscrolls\w_e_b_du_bois_rebel_with_a_cause_carrscroll.md,changed,no,yes,renamed grok_ctx_reflection -> ctx_grok_reflection; converted external_refs to list,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\00_core_frameworks\africana_studies_african_diaspora.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/00_core_frameworks/africana_studies_african_diaspora.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\00_core_frameworks\africana_studies_black_culture_and_identity.md,changed,no,yes,renamed grok_ctx_reflection -> ctx_grok_reflection; fixed path -> africana_studies/99_legacy_topic_staging/00_core_frameworks/africana_studies_black_culture_and_identity.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\00_core_frameworks\africana_studies_black_liberation_movement.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/00_core_frameworks/africana_studies_black_liberation_movement.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\00_core_frameworks\africana_studies_civil_rights_movement.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/00_core_frameworks/africana_studies_civil_rights_movement.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\00_core_frameworks\africana_studies_pan_africanism_and_global_black_solidarity.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/00_core_frameworks/africana_studies_pan_africanism_and_global_black_solidarity.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\00_core_frameworks\black_feminist_philosophy.md,changed,no,no,fixed path -> africana_studies/99_legacy_topic_staging/00_core_frameworks/black_feminist_philosophy.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\00_core_frameworks\digitalscorpyun_rebellion_code.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/00_core_frameworks/digitalscorpyun_rebellion_code.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\00_core_frameworks\discourse_on_colonialism.md,changed,no,no,fixed path -> africana_studies/99_legacy_topic_staging/00_core_frameworks/discourse_on_colonialism.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\00_core_frameworks\ethics_case_studies.md,changed,no,no,fixed path -> africana_studies/99_legacy_topic_staging/00_core_frameworks/ethics_case_studies.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\00_core_frameworks\legitimation_loop.md,changed,no,no,fixed path -> africana_studies/99_legacy_topic_staging/00_core_frameworks/legitimation_loop.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\00_core_frameworks\political_ai.md,changed,no,no,fixed path -> africana_studies/99_legacy_topic_staging/00_core_frameworks/political_ai.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\00_core_frameworks\rebellion_code_changelog.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/00_core_frameworks/rebellion_code_changelog.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\00_core_frameworks\structure_note_black_aesthetic_architecture.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/00_core_frameworks/structure_note_black_aesthetic_architecture.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\00_core_frameworks\system_audit_index.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/00_core_frameworks/system_audit_index.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\00_core_frameworks\the_rise_of_totalitarianism.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/00_core_frameworks/the_rise_of_totalitarianism.md; converted adinkra to list; converted synapses to list; converted key_themes to list; converted quotes to list; converted linked_notes to list,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\00_core_frameworks\voting_rights.md,changed,no,no,fixed path -> africana_studies/99_legacy_topic_staging/00_core_frameworks/voting_rights.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\00_douglass_os\dos_01_sovereignty.md,changed,no,no,fixed path -> africana_studies/99_legacy_topic_staging/00_douglass_os/dos_01_sovereignty.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\01_historical_eras\african_american.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/01_historical_eras/african_american.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\01_historical_eras\charlemagne_to_christian_nationalism_carrscroll.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/01_historical_eras/charlemagne_to_christian_nationalism_carrscroll.md; converted adinkra to list,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\01_historical_eras\civil_rights_movement.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/01_historical_eras/civil_rights_movement.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\01_historical_eras\diasporic_literature_index.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/01_historical_eras/diasporic_literature_index.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\01_historical_eras\matamba.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/01_historical_eras/matamba.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\01_historical_eras\the_black_jacobins.md,changed,no,no,fixed path -> africana_studies/99_legacy_topic_staging/01_historical_eras/the_black_jacobins.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\01_historical_eras\the_scramble_for_africa.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/01_historical_eras/the_scramble_for_africa.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\01_historical_eras\tulsa_race_massacre_1921.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/01_historical_eras/tulsa_race_massacre_1921.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\02_geographic_regions\matamba_economic_power_ai_era.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/02_geographic_regions/matamba_economic_power_ai_era.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\02_geographic_regions\nzinga_reign_achievements.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/02_geographic_regions/nzinga_reign_achievements.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\02_geographic_regions\palestine_discussion.md,changed,no,no,fixed path -> africana_studies/99_legacy_topic_staging/02_geographic_regions/palestine_discussion.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\02_geographic_regions\ritual_displacement_africa.md,changed,no,no,fixed path -> africana_studies/99_legacy_topic_staging/02_geographic_regions/ritual_displacement_africa.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\03_resistance_traditions\_meta.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/03_resistance_traditions/_meta.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\03_resistance_traditions\epistemic_resistance\africana_studies_colonial_resistance.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/03_resistance_traditions/epistemic_resistance/africana_studies_colonial_resistance.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\03_resistance_traditions\epistemic_resistance\black_pain_algorithmic_resistance.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/03_resistance_traditions/epistemic_resistance/black_pain_algorithmic_resistance.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\03_resistance_traditions\infrastructural_resistance\common_sense_as_revolutionary_communication_infrastructure.md,changed,no,yes,renamed grok_ctx_reflection -> ctx_grok_reflection; fixed path -> africana_studies/99_legacy_topic_staging/03_resistance_traditions/infrastructural_resistance/common_sense_as_revolutionary_communication_infrastructure.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\03_resistance_traditions\infrastructural_resistance\mutual_aid_societies.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/03_resistance_traditions/infrastructural_resistance/mutual_aid_societies.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\03_resistance_traditions\infrastructural_resistance\resisting_algorithmic_colonialism_nzinga_legacy.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/03_resistance_traditions/infrastructural_resistance/resisting_algorithmic_colonialism_nzinga_legacy.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\03_resistance_traditions\infrastructural_resistance\tubman_as_a_model_for_digital_sanctuary.md,changed,no,yes,renamed grok_ctx_reflection -> ctx_grok_reflection; fixed path -> africana_studies/99_legacy_topic_staging/03_resistance_traditions/infrastructural_resistance/tubman_as_a_model_for_digital_sanctuary.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\03_resistance_traditions\methodological_resistance\tubman_counterintelligence_networks.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/03_resistance_traditions/methodological_resistance/tubman_counterintelligence_networks.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\03_resistance_traditions\organizational_resistance\black_panther_party_overview.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/03_resistance_traditions/organizational_resistance/black_panther_party_overview.md; converted adinkra to list,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\03_resistance_traditions\organizational_resistance\knights_of_liberty.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/03_resistance_traditions/organizational_resistance/knights_of_liberty.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\03_resistance_traditions\ritual_resistance\ritual_and_resistance.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/03_resistance_traditions/ritual_resistance/ritual_and_resistance.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\04_cultural_expressions\afrofuturism_overview.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/04_cultural_expressions/afrofuturism_overview.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\04_cultural_expressions\diaspora_in_the_digital_age.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/04_cultural_expressions/diaspora_in_the_digital_age.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\04_cultural_expressions\kwanzaa.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/04_cultural_expressions/kwanzaa.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\04_cultural_expressions\lord_of_the_rings_the_fellowship_of_the_ring.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/04_cultural_expressions/lord_of_the_rings_the_fellowship_of_the_ring.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\04_cultural_expressions\on_tyranny_key_lessons.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/04_cultural_expressions/on_tyranny_key_lessons.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\05_contemporary_issues\africana_studies_lion_of_anacostia.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/05_contemporary_issues/africana_studies_lion_of_anacostia.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\05_contemporary_issues\africana_studies_syrian_civil_war.md,changed,no,yes,renamed grok_ctx_reflection -> ctx_grok_reflection; fixed path -> africana_studies/99_legacy_topic_staging/05_contemporary_issues/africana_studies_syrian_civil_war.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\05_contemporary_issues\ai_defense_networks.md,changed,no,no,fixed path -> africana_studies/99_legacy_topic_staging/05_contemporary_issues/ai_defense_networks.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\05_contemporary_issues\diaspora_in_the_digital_age.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/05_contemporary_issues/diaspora_in_the_digital_age.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\05_contemporary_issues\goal_tracker_dashboard.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/05_contemporary_issues/goal_tracker_dashboard.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\05_contemporary_issues\od_comply_personality_profile.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/05_contemporary_issues/od_comply_personality_profile.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\05_contemporary_issues\the_woke_mob_was_right.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/05_contemporary_issues/the_woke_mob_was_right.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\06_key_figures\constance_baker_motley.md,changed,no,yes,renamed grok_ctx_reflection -> ctx_grok_reflection; fixed path -> africana_studies/99_legacy_topic_staging/06_key_figures/constance_baker_motley.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\06_key_figures\frederick_douglass\douglass_as_algorithm.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/06_key_figures/frederick_douglass/douglass_as_algorithm.md; converted adinkra to list,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\06_key_figures\frederick_douglass\frederick_douglass.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/06_key_figures/frederick_douglass/frederick_douglass.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\06_key_figures\frederick_douglass\frederick_douglass_reconstruction_conflict.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/06_key_figures/frederick_douglass/frederick_douglass_reconstruction_conflict.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\06_key_figures\langston_hughes.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/06_key_figures/langston_hughes.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\06_key_figures\leroy_satchel_paige.md,changed,no,yes,renamed grok_ctx_reflection -> ctx_grok_reflection; fixed path -> africana_studies/99_legacy_topic_staging/06_key_figures/leroy_satchel_paige.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\06_key_figures\maggie_lena_walker.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/06_key_figures/maggie_lena_walker.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\06_key_figures\mary_louvestre.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/06_key_figures/mary_louvestre.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\06_key_figures\nzinga_strategic_doctrine_for_ai_ethics.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/06_key_figures/nzinga_strategic_doctrine_for_ai_ethics.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\06_key_figures\queen_nzinga_mbande_1583_1663.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/06_key_figures/queen_nzinga_mbande_1583_1663.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\06_key_figures\shadrach_minkins.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/06_key_figures/shadrach_minkins.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\07_conceptual_structures\abolition_as_system.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/07_conceptual_structures/abolition_as_system.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\07_conceptual_structures\african_diaspora_themes.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/07_conceptual_structures/african_diaspora_themes.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\07_conceptual_structures\americas_reconstruction_failure.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/07_conceptual_structures/americas_reconstruction_failure.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\07_conceptual_structures\anthea_butler_800_church_crown_asc.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/07_conceptual_structures/anthea_butler_800_church_crown_asc.md; converted adinkra to list,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\07_conceptual_structures\asc_modern_civil_rights_holloway.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/07_conceptual_structures/asc_modern_civil_rights_holloway.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\07_conceptual_structures\atlantic_creoles_age_of_revolutions.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/07_conceptual_structures/atlantic_creoles_age_of_revolutions.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\07_conceptual_structures\black_business_traditions.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/07_conceptual_structures/black_business_traditions.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\07_conceptual_structures\black_revolutionary_network.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/07_conceptual_structures/black_revolutionary_network.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\99_legacy_topic_staging\07_conceptual_structures\douglass_operating_system.md,changed,no,yes,fixed path -> africana_studies/99_legacy_topic_staging/07_conceptual_structures/douglass_operating_system.md,
